Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
23,Масло сливочное,283,106,Молочные продукты,Способствует поддержанию нормальной микрофлоры кишечника.,1997-02-26,2021-07-07,2.7,Awaiting Payment
24,Спаржа,7296,941,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2004-04-09,2029-06-01,1.84,Pending
25,Камамбер,2608,929,Молочные продукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,1992-02-04,2016-06-02,4.54,Awaiting Review
26,Редис,7197,268,Овощи,Помогает поддерживать нормальный уровень энергии и выносливости.,2010-05-11,2012-01-08,3.76,Awaiting Payment
27,Буузы,8603,113,Мясо,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1993-01-22,2022-03-12,4.55,In Stock
28,Цветная капуста,4447,701,Овощи,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2022-02-11,2022-06-01,4.77,Refunded
29,Голландский сыр,3900,549,Молочные продукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-01-27,2017-03-15,0.41,Awaiting Payment
30,Киви,4484,650,Фрукты,Служит основой для создания множества кулинарных шедевров.,2006-01-01,2009-01-14,3.55,Backorder
31,Лук-порей,9029,89,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2014-03-05,2027-05-04,1.7,Cancelled
32,Каша из полбы,5794,802,Бакалея,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2002-05-02,2009-08-05,0.69,Temporarily Unavailable
33,Каша из дробленой кукурузы,7638,399,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2003-02-07,2023-01-02,3.9,Awaiting Review
34,Щавель,6239,505,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2016-04-15,2028-08-19,2.27,In Stock
35,Смородина,659,819,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2012-06-05,2027-04-02,4.08,Refunded
36,Каша из манной крупы,975,864,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2013-03-07,2014-10-17,3.65,On Backorder
37,Панчетта,8092,76,Мясо,Подходит для использования в специализированных диетах и лечебных программах.,2000-04-18,2027-04-24,0.06,Out of Stock
38,Каша из дробленной ячневой крупы,6453,795,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-11-13,2015-01-14,1.62,In Stock
39,Домашние колбасы,2409,436,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2015-02-03,2020-01-03,0.7,Awaiting Review
40,Гель для душа,4604,941,Товары для дома,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2022-02-01,2029-01-04,2.64,Pending
41,Паштет,5452,945,Мясо,Отвечает всем современным стандартам качества и безопасности.,2008-09-14,2030-07-06,4.36,Pending
42,Смородина,8116,480,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2004-01-11,2006-03-07,4.36,Backorder
43,Пельмени,9920,193,Мясо,Рекомендуется для ежедневного потребления в умеренных количествах.,2002-07-10,2016-03-02,4.54,Backorder
44,Молоко,4986,278,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1991-05-09,2021-04-21,4.84,Returned
45,Спаржа,3244,380,Овощи,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2003-01-06,2019-04-04,1.72,Available for Pickup
46,Самарская,7844,762,Напитки,Придает блюдам особую нежность и насыщенность.,2012-11-02,2025-01-13,2.44,Temporarily Unavailable
47,Горох,5933,941,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1992-03-23,2002-07-04,3.64,Awaiting Review
48,Термосы,2232,981,Товары для дома,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2000-08-02,2014-02-03,3.36,Returned
49,Черника,5324,994,Фрукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,1993-04-01,2020-11-13,3.17,On Backorder
50,Черешня,6482,628,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,2010-01-02,2020-08-21,2.91,Awaiting Payment
51,Российский сыр,2938,635,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2021-11-12,2027-02-05,4.25,Pending
52,Косулятина,8836,257,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2013-03-15,2019-06-07,1.43,Awaiting Review
53,Пакеты пластиковые,6725,25,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2009-01-11,2025-01-01,4.85,Delivered
54,Яблоко,7095,520,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1998-05-02,2003-01-01,4.4,Temporarily Unavailable
55,Пельмени,1462,338,Мясо,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2004-07-01,2007-02-06,4.89,In Stock
56,Пакеты для животных,2061,47,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,2002-04-01,2029-01-12,1.44,Refunded
57,Ульяновская,7548,394,Напитки,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1995-02-11,2030-08-13,3.6,Temporarily Unavailable
58,Кукуруза консервированная,7410,920,Бакалея,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2020-01-17,2020-08-11,4.62,On Backorder
59,Шейка,8294,29,Мясо,Может быть использован в качестве заменителя менее полезных продуктов.,2022-04-04,2025-04-04,0.53,Pending
60,Батат,4454,375,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2011-02-01,2023-06-13,0.82,Cancelled
61,Ряженка,2869,275,Молочные продукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2007-03-06,2007-03-07,4.0,In Stock
62,Пастрома,2763,769,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,2005-04-11,2009-09-06,1.94,Refunded
63,Павловская,2950,723,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2014-05-01,2029-02-14,3.9,Delivered
64,Кролик,9726,629,Мясо,Идеален для перекусов между основными приемами пищи.,1993-04-10,1999-04-08,0.94,Available for Pickup
65,Пшено,6839,5,Бакалея,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2018-01-05,2029-01-07,3.53,Delivered
66,Йогурт,8724,547,Молочные продукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2009-02-22,2028-05-01,0.09,Backorder
67,Инжир,5404,29,Фрукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2020-06-05,2025-02-02,4.66,Temporarily Unavailable
68,Пастила,7707,36,Бакалея,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2000-02-03,2025-01-07,2.34,Available for Pickup
69,Колбаса копченая,102,227,Мясо,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2000-01-03,2009-01-03,3.05,New
70,Электростальская,8861,353,Напитки,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2018-01-04,2027-01-24,0.86,On Backorder
71,Орегано сушеный,3328,844,Бакалея,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2007-04-04,2019-03-03,2.34,Shipping
72,Sprite Zero,6658,189,Напитки,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1994-02-06,2028-04-03,2.14,In Stock
73,Кокос,9446,462,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2019-01-01,2029-02-25,4.32,Backorder
74,Лимон,506,525,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1998-01-07,2024-07-15,1.26,On Backorder
75,Пакеты для Дня независимости,2852,753,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2000-07-05,2001-03-01,2.81,Backorder
76,Творог,9584,975,Молочные продукты,Помогает улучшить когнитивные функции и память.,2008-02-02,2020-05-04,2.15,Awaiting Review
77,Лавровый лист сушеный,5138,820,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2022-01-14,2027-02-16,0.53,Sold
78,Бритвенный станок,8563,126,Товары для дома,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2013-09-03,2014-05-05,3.46,Sold
79,Кефир,1996,386,Молочные продукты,Отличается хорошей совместимостью с другими продуктами питания.,2017-02-11,2019-03-02,0.47,Delivered
80,Тартар,8843,998,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2020-04-07,2024-01-07,0.76,Temporarily Unavailable
81,Эндивий,1942,105,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1990-09-04,1997-05-02,4.93,Available for Pickup
82,Баклажан,6833,481,Овощи,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2014-04-01,2021-01-08,3.82,Sold
83,Нарзан,4356,767,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2010-09-15,2013-09-02,4.61,In Stock
84,Шубат,149,307,Молочные продукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2016-01-03,2019-04-09,2.07,Cancelled
85,Тюменская,1819,987,Напитки,Способствует поддержанию нормальной микрофлоры кишечника.,2014-09-01,2030-11-01,3.43,Out of Stock
86,Сыр,866,125,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2007-01-03,2025-01-08,1.6,Out of Stock
87,Пакеты для свадьбы,3331,9,Товары для дома,Поддерживает иммунитет и общее состояние здоровья.,2013-02-09,2029-07-02,0.08,Refunded
88,Лен семена,729,397,Бакалея,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2013-01-03,2015-05-15,1.84,Available for Pickup
89,Evian,3501,562,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2009-04-02,2021-01-04,3.41,New
90,Киви,305,774,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1995-07-06,2015-02-21,1.63,New
91,Каша из дробленной пшеничной крупы,4660,79,Бакалея,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2022-02-22,2027-10-02,4.9,New
92,Уральская,3583,395,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2020-04-09,2030-02-21,3.32,Awaiting Review
93,Каймак,1632,720,Молочные продукты,Широко используется в традиционной и современной кухне.,2012-05-22,2024-04-20,3.01,New
94,Бумажные полотенца,8228,425,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1999-02-04,2025-12-03,4.86,Temporarily Unavailable
95,Моцарелла,4600,59,Молочные продукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1995-05-11,1997-02-05,1.7,Temporarily Unavailable
96,Моющее средство для пола,4578,58,Товары для дома,Помогает поддерживать нормальный уровень гемоглобина в крови.,2015-03-18,2024-01-22,0.66,Awaiting Review
97,Подставки под столовые приборы,7141,277,Товары для дома,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2009-02-01,2018-01-06,1.83,Delivered
98,Чеддер,4226,611,Молочные продукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2019-05-04,2024-03-02,1.92,On Backorder
99,Пакеты для Дня матери,9897,173,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1995-08-04,2002-08-10,3.55,Available for Pickup
100,Российский сыр,5356,149,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-01-17,2029-02-10,1.84,Pending
101,Помело,5340,506,Фрукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2012-03-03,2014-05-06,0.48,Delivered
102,Полотенца для рук,2729,654,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2011-08-01,2028-06-01,3.26,Returned
103,Курица,313,801,Мясо,Помогает поддерживать оптимальный вес и форму тела.,1991-10-08,2017-02-03,4.65,Temporarily Unavailable
104,Черника,8133,102,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2020-01-09,2029-02-13,2.28,Pending
105,Кабачок,333,416,Овощи,"Является источником важных нутриентов, необходимых для роста и развития детей.",2021-01-04,2023-06-10,0.98,Delivered
106,Пищевая пленка,4456,100,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2008-02-08,2020-09-02,1.73,Backorder
107,Камамбер,810,785,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2009-01-13,2016-02-12,2.8,Cancelled
108,Крыжовник,7124,702,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-03-05,2027-06-17,0.51,Backorder
109,Смородина,4049,147,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1998-01-08,2014-06-08,1.63,Refunded
110,Гусиные потроха,423,938,Мясо,Прошел сертификацию на соответствие требованиям органических стандартов.,2019-02-25,2029-02-06,4.08,Out of Stock
111,Абрикос,5048,963,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2006-08-02,2025-07-12,0.01,In Stock
112,Адыгейский сыр,6486,12,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,2021-09-15,2025-03-02,3.55,Backorder
113,Крыжовник,7036,565,Фрукты,"Является источником антиоксидантов, замедляющих процессы старения.",2013-02-12,2026-01-04,3.58,Delivered
114,Шелковица,3700,41,Фрукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1991-01-19,2000-02-04,1.86,Backorder
115,Каша из проса,4918,493,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1997-09-07,2003-03-05,0.02,Backorder
116,Банан,9699,960,Фрукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2018-02-12,2029-05-01,0.37,Pending
117,Айран,3975,630,Молочные продукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1994-01-15,1999-03-15,4.06,On Backorder
118,Салями,128,1000,Мясо,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1996-03-13,2006-07-13,2.58,Temporarily Unavailable
119,Сахар,501,49,Бакалея,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2005-01-10,2011-04-05,0.72,Delivered
120,Российский сыр,7837,953,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2006-01-10,2020-04-05,4.3,Refunded
121,Фольга алюминиевая,1405,781,Товары для дома,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2020-01-02,2024-02-09,1.49,Temporarily Unavailable
122,Каша из булгура,996,533,Бакалея,Помогает поддерживать нормальный уровень гормонов в организме.,2000-01-01,2029-08-09,2.06,New
123,Дезодорант,9790,138,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2016-05-18,2030-01-14,4.74,Shipping
124,Батат,9867,651,Овощи,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1998-07-09,2010-01-02,1.02,Backorder
125,Владимирская,5802,238,Напитки,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2002-01-18,2008-02-13,1.85,New
126,Майонез,6091,685,Бакалея,Помогает нормализовать артериальное давление и уровень холестерина.,1995-01-03,1995-08-03,3.89,Sold
127,Масло подсолнечное,8465,928,Бакалея,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2007-07-03,2013-03-03,3.85,Out of Stock
128,Пакеты для Дня смеха,9442,803,Товары для дома,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1997-02-06,2019-05-17,4.1,Awaiting Payment
129,Просо,2849,113,Бакалея,Подходит для использования в рецептах традиционной кухни разных стран.,2018-01-01,2026-04-03,4.64,Sold
130,Тверская,877,179,Напитки,Является неотъемлемой частью рациона многих народов мира.,1997-10-01,2016-08-27,2.78,Cancelled
131,Пакеты для тренинга,9143,570,Товары для дома,Отличается способностью повышать общий тонус и работоспособность.,2021-01-08,2022-03-16,4.97,Out of Stock
132,Ванилин,977,247,Бакалея,Помогает поддерживать нормальный уровень гормонов в организме.,2014-03-03,2026-03-05,2.74,Shipping
133,Ласси,9803,849,Молочные продукты,"Помогает улучшить состояние волос, ногтей и кожи.",2015-08-07,2023-10-07,2.28,Delivered
134,Адыгейский сыр,1476,111,Молочные продукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2005-04-15,2006-05-01,4.7,Sold
135,Куриные ножки,7408,500,Мясо,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2008-03-14,2021-04-06,0.73,Shipping
136,Йогурт натуральный,7174,236,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2013-02-28,2023-01-01,4.32,Returned
137,Ласси,2688,853,Молочные продукты,Отличается высоким уровнем биологической доступности питательных веществ.,2017-05-21,2023-06-15,2.78,Awaiting Review
138,Ложки чайные,229,251,Товары для дома,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2011-02-18,2027-02-09,2.99,Available for Pickup
139,Курт,5414,375,Молочные продукты,Широко используется в традиционной и современной кухне.,1999-03-01,1999-06-22,1.62,Refunded
140,Банан,4095,67,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2016-08-17,2030-06-12,4.11,Returned
141,Кефир,7167,61,Молочные продукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2014-01-28,2029-02-21,3.64,New
142,Вареники с мясом,5917,272,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2003-03-02,2015-07-05,1.11,Out of Stock
143,Слива,7518,382,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2008-01-05,2014-07-09,4.73,Cancelled
144,Одеяла,7284,323,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,2005-02-08,2016-04-08,4.6,Out of Stock
145,Российский сыр,8399,996,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-05-02,2030-06-01,4.99,Shipping
146,Пакеты для садовых работ,8313,63,Товары для дома,Помогает поддерживать нормальный уровень энергии и выносливости.,1999-06-17,2004-07-02,2.14,Out of Stock
147,Каша из дробленного пшена,9108,342,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2016-07-07,2018-05-01,1.52,Awaiting Review
148,Партенит,8334,520,Напитки,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2010-02-10,2011-01-25,1.01,Cancelled
149,Бурятская,4934,677,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2019-03-11,2025-01-10,4.22,Shipping
150,Красногорская,1476,343,Напитки,"Является источником важных микроэлементов, таких как магний и калий.",2008-02-01,2015-04-12,0.93,Cancelled
151,Авокадо,824,555,Фрукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2015-08-01,2029-02-07,0.37,Out of Stock
152,Манго,7866,342,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2001-01-03,2013-10-11,4.9,Backorder
153,Брюква,8536,474,Овощи,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2010-04-09,2013-06-07,2.9,Sold
154,Банан,5775,689,Фрукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2013-04-05,2022-05-02,2.7,Returned
155,Консервированные бобы,170,567,Бакалея,Подходит для использования в рационе людей с повышенным давлением.,2015-07-25,2020-02-08,3.93,Sold
156,Великолукская,7985,112,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2008-05-24,2017-02-15,2.75,On Backorder
157,Кольраби,3585,152,Овощи,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2009-02-02,2028-08-10,2.66,Backorder
158,Картофель,1036,479,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1995-01-02,2030-06-02,3.65,On Backorder
159,Молочный коктейль,9746,144,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,1998-09-04,1999-03-09,0.88,On Backorder
160,Камамбер,1899,55,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1994-01-13,2016-03-01,2.79,Returned
161,Молочный коктейль,5839,861,Напитки,Отличается удобством использования и экономичностью в расходе.,2014-02-21,2027-03-03,1.8,Available for Pickup
162,Pepsi Max,9628,723,Напитки,Прошел строгий контроль качества на всех этапах производства.,2007-01-15,2023-03-02,2.53,Shipping
163,Пакеты для Всемирного дня воды,1806,108,Товары для дома,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2003-01-02,2027-06-06,2.9,Returned
164,Пакеты для Всемирного дня поэзии,3951,929,Товары для дома,Является важным компонентом рациона для поддержания гормонального баланса.,1991-01-21,2026-10-11,3.83,Temporarily Unavailable
165,Сидр яблочный,1891,478,Напитки,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1998-04-04,2014-05-12,1.88,Sold
166,Нафтуся,7255,88,Напитки,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2005-01-03,2020-10-02,1.58,Refunded
167,Мортаделла,6924,796,Мясо,Рекомендуется для ежедневного потребления в умеренных количествах.,2019-06-11,2020-02-10,1.58,Backorder
168,Чиа семена,3154,569,Бакалея,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2019-04-10,2027-01-03,4.44,Available for Pickup
169,Баклажан,9751,647,Овощи,Помогает поддерживать нормальный уровень артериального давления.,1999-01-02,2000-06-10,3.96,Returned
170,Чечевица,5802,908,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1997-09-12,2021-02-02,3.75,Awaiting Review
171,Мортаделла,5666,146,Мясо,Придает блюдам особую нежность и насыщенность.,2002-04-05,2009-02-08,2.88,On Backorder
172,Пакеты для запекания,3803,532,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1994-01-06,2021-04-08,4.05,Backorder
173,Каша из пшена,2232,170,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2009-07-04,2025-08-01,2.21,Pending
174,Шубат,3767,491,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2013-04-16,2014-07-05,3.95,Backorder
175,Российский сыр,4853,530,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2016-02-08,2020-01-15,1.94,Temporarily Unavailable
176,Шпинат,5156,847,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2010-11-05,2017-02-13,1.77,Shipping
177,Отбеливатель,4615,165,Товары для дома,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2019-02-07,2023-02-04,4.69,Backorder
178,Алтайская россыпь,6176,15,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2008-04-01,2027-01-04,1.6,New
179,Сковороды,2497,421,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2006-06-05,2011-04-04,4.95,Available for Pickup
180,Молоко,9276,68,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2010-06-15,2025-04-01,1.63,Returned
181,Брюква,7305,964,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2015-02-15,2016-03-01,4.63,New
